26105|2026-09-14|10,14,30,33,34|09,12|797986462|3|9415460
26104|2026-09-12|01,06,14,15,26|08,09|768328091|7|6952434
26103|2026-09-09|03,16,17,32,35|02,12|763164025|3|10000000
26102|2026-09-07|01,03,07,27,28|06,07|725321799|1|10000000
26101|2026-09-05|09,11,18,26,33|09,11|692723357|10|5927001
26100|2026-09-02|02,06,11,15,31|07,08|728785802|6|6733541
26099|2026-08-31|02,17,20,29,33|08,09|728556728|4|8305500
26098|2026-08-29|07,09,18,19,21|02,09|706544164|15|5050505
26097|2026-08-26|03,10,12,20,25|01,09|762988476|7|6840926
26096|2026-08-24|08,09,10,11,25|04,12|760346716|9|6561952
26095|2026-08-22|04,06,08,10,14|04,05|801693150|6|7103866
26094|2026-08-19|05,14,15,17,33|01,07|795085879|3|8380751
26093|2026-08-17|08,10,22,26,29|03,10|772986653|10|5848781
26092|2026-08-15|12,16,19,29,33|07,09|822403232|4|9601645
26091|2026-08-12|03,04,07,12,32|01,02|835359282|3|10000000
26090|2026-08-10|09,14,17,19,24|02,09|825721619|2|10000000
26089|2026-08-08|03,07,12,14,26|05,11|817996545|3|9058951
26088|2026-08-05|03,09,11,24,27|05,11|792266898|2|9662603
26087|2026-08-03|05,10,16,24,27|04,10|768406559|9|6547013
26086|2026-08-01|10,11,18,22,35|06,12|813207390|2|10000000
26085|2026-07-29|03,04,14,28,31|05,07|804161465|2|10000000
26084|2026-07-27|13,25,30,32,33|04,05|770490758|8|6621689
26083|2026-07-25|14,15,16,23,26|07,09|772867560|8|7215569
26082|2026-07-22|16,26,27,28,34|02,06|807119056|5|8286251
26081|2026-07-20|08,16,18,24,34|09,12|784468404|5|8031396
26080|2026-07-18|05,10,15,21,23|07,08|765513154|10|6006451
26079|2026-07-15|06,08,23,26,27|05,12|794651243|5|6673829
26078|2026-07-13|02,13,20,25,32|08,11|818797138|5|8216073
26077|2026-07-11|04,14,19,24,27|06,07|797164073|2|9470883
26076|2026-07-08|15,20,27,28,35|02,11|804904837|4|10000000
26075|2026-07-06|01,06,16,18,26|04,10|814593834|3|10000000
26074|2026-07-04|01,04,10,23,25|01,12|818314177|6|7752365
26073|2026-07-01|04,10,22,23,33|02,12|798037522|6|8427733
26072|2026-06-29|01,13,26,29,30|09,11|820383228|5|8484040
26071|2026-06-27|05,13,22,26,32|02,03|844492277|1|10000000
26070|2026-06-24|04,05,15,21,32|02,11|814894462|1|10000000
26069|2026-06-22|12,19,21,24,29|03,10|757966458|8|7110906
26068|2026-06-20|03,11,12,21,22|06,10|802145381|5|7366555
26067|2026-06-17|06,16,18,19,28|07,11|791339917|6|7300268
26066|2026-06-15|10,13,19,21,30|04,05|817519005|2|10000000
26065|2026-06-13|04,11,12,13,25|04,08|802840285|6|7598219
26064|2026-06-10|03,13,15,17,21|02,07|787631261|4|8286328
26063|2026-06-08|03,15,20,29,31|01,12|762261292|5|7715951
26062|2026-06-06|07,15,20,24,29|04,10|738675961|15|5747126
