2026107|2026-09-15|01,05,09,17,24,33|04|858528126|9|6900239
2026106|2026-09-13|06,11,13,14,22,30|14|856497196|4|8953611
2026105|2026-09-10|02,04,13,14,15,30|08|833007469|1|10000000
2026104|2026-09-08|11,12,13,19,20,31|03|798557035|11|6596605
2026103|2026-09-06|04,11,20,27,28,30|15|805259723|7|8013753
2026102|2026-09-03|03,04,10,13,16,25|09|782244968|4|8286261
2026101|2026-09-01|05,06,08,09,24,25|12|766096090|4|8881916
2026100|2026-08-30|03,04,09,13,22,31|04|743395010|40|2500000
2026099|2026-08-27|01,12,14,18,30,31|02|776452438|2|10000000
2026098|2026-08-25|08,16,18,22,25,26|07|711169786|7|6866583
2026097|2026-08-23|05,16,24,26,29,30|02|710238057|2|10000000
2026096|2026-08-20|01,04,16,22,26,31|04|654135395|6|8348282
2026095|2026-08-18|04,06,14,21,22,33|16|628888733|7|7475143
2026094|2026-08-16|06,13,15,17,24,25|01|616242219|4|10000000
2026093|2026-08-13|05,08,15,20,21,24|09|566415284|8|6581443
2026092|2026-08-11|09,11,12,25,30,33|11|571623532|12|6466298
2026091|2026-08-09|02,13,14,16,20,24|05|583235682|4|10000000
2026090|2026-08-06|02,04,15,23,25,27|03|545331466|3|10000000
2026089|2026-08-04|05,18,23,24,27,33|03|489539135|3|10000000
2026088|2026-08-02|06,07,11,18,22,33|05|442158322|34|2941176
2026087|2026-07-30|04,06,10,18,23,31|11|473791046|8|7296989
2026086|2026-07-28|02,05,14,25,30,32|05|463257269|7|7501853
2026085|2026-07-26|06,09,13,17,24,28|15|450096595|17|5882352
2026084|2026-07-23|01,05,06,10,12,16|05|480566551|10|6809591
2026083|2026-07-21|07,14,15,23,28,33|03|480802779|0|0
2026082|2026-07-19|05,07,10,14,21,28|04|409487566|10|7104774
2026081|2026-07-16|06,10,12,15,24,27|12|401606257|5|8082773
2026080|2026-07-14|04,05,11,19,27,32|01|384218118|8|7579965
2026079|2026-07-12|01,11,17,22,24,29|04|367458887|1|10000000
2026078|2026-07-09|07,11,14,16,27,28|06|285632700|15|5983174
2026077|2026-07-07|01,04,05,14,18,25|04|320076738|6|8516882
2026076|2026-07-05|01,03,19,20,24,25|07|292048181|6|7355406
2026075|2026-07-02|08,12,18,21,24,30|01|283183968|5|7840223
2026074|2026-06-30|02,23,24,26,28,32|04|308183968|4|8277839
2026073|2026-06-28|09,10,13,16,19,21|08|328183968|10|6111492
2026072|2026-06-25|07,08,12,15,17,21|01|378183968|4|8287457
2026071|2026-06-23|03,08,19,25,31,33|05|398183968|8|5867768
2026070|2026-06-21|03,06,08,14,26,27|08|438183968|11|5811271
2026069|2026-06-18|12,14,16,17,18,32|08|493183968|22|4545454
2026068|2026-06-16|03,05,16,18,29,32|04|588469423|14|5649404
2026067|2026-06-14|04,19,27,29,30,32|13|658469423|3|10000000
2026066|2026-06-11|05,11,21,23,24,29|16|671837950|7|6728458
2026065|2026-06-09|07,08,16,24,30,32|02|706837950|7|6944530
2026064|2026-06-07|01,09,15,18,29,33|15|741837950|15|6021460
2026063|2026-06-04|02,08,25,28,30,31|02|816837950|20|5000000
2026062|2026-06-02|02,04,07,14,28,29|09|909990283|30|3333333
2026061|2026-05-31|01,04,05,15,23,28|07|1009990273|8|6130798
2026060|2026-05-28|07,09,10,16,22,27|11|1049990273|18|5502014
2026059|2026-05-26|08,16,26,28,29,30|15|1139990273|3|10000000
2026058|2026-05-24|01,04,07,21,29,30|01|1154771516|9|6504451
2026057|2026-05-21|01,10,22,24,28,30|07|1199771516|6|6920687
2026056|2026-05-19|10,19,21,22,31,33|05|1229771516|2|10000000
2026055|2026-05-17|04,11,24,25,32,33|13|1237107160|3|10000000
2026054|2026-05-14|13,20,25,29,30,33|02|1251883761|5|8421032
2026053|2026-05-12|01,02,03,08,13,14|02|1276883761|6|7002350
2026052|2026-05-10|01,03,11,22,26,31|11|1306883761|24|4166666
2026051|2026-05-07|09,14,15,16,29,30|10|1400262206|14|5728242
2026050|2026-05-05|06,09,25,27,28,30|03|1470262206|4|7220345
2026049|2026-05-03|03,04,14,15,18,20|02|1490262206|6|6941614
2026048|2026-04-30|09,15,18,24,28,33|01|1520262206|0|0
2026047|2026-04-28|07,16,21,24,27,30|07|1505111504|6|6564632
2026046|2026-04-26|02,09,10,24,31,33|16|1535111504|5|8506512
2026045|2026-04-23|04,11,15,17,24,30|15|1559981238|12|6214166
2026044|2026-04-21|02,14,17,18,22,30|01|1619981238|6|7298375
2026043|2026-04-19|06,09,14,16,25,32|16|1649981238|16|5364612
2026042|2026-04-16|02,07,12,19,24,31|10|1729981238|14|5706863
2026041|2026-04-14|02,08,10,17,19,24|13|1799981238|14|5761961
2026040|2026-04-12|03,04,14,22,23,33|04|1869981238|13|6070223
